id_vocab,german,english,score,succeed_session,succeed,try_session,retry
1,aber,but,0,False,False,False,2022-01-01
2,allein,alone,0,False,False,False,2022-01-01
3,alt,old,0,False,False,False,2022-01-01
4,andere,other,0,False,False,False,2022-01-01
5,anrufen,to phone,0,False,False,False,2022-01-01
6,anziehen,to put a clothe on,0,False,False,False,2022-01-01
7,April,April,0,False,False,False,2022-01-01
8,arbeiten,to work,0,False,False,False,2022-01-01
9,attraktiv,attractive,0,False,False,False,2022-01-01
10,auf Wiedersehen,goodbye,0,False,False,False,2022-01-01
11,August,August,0,False,False,False,2022-01-01
12,ausmachen,to turn off,0,False,False,False,2022-01-01
13,backen,to bake,0,False,False,False,2022-01-01
14,beginnen,to begin,0,False,False,False,2022-01-01
15,bequem,convenient,0,False,False,False,2022-01-01
16,bezahlen,to pay,0,False,False,False,2022-01-01
17,bis Bald,bye for now,0,False,False,False,2022-01-01
18,bis Später,see you later,0,False,False,False,2022-01-01
19,bitte,please,0,False,False,False,2022-01-01
20,bitte sehr,you're welcome,0,False,False,False,2022-01-01
21,blau,blue,0,False,False,False,2022-01-01
22,blind,blind,0,False,False,False,2022-01-01
23,danke,thank you,0,False,False,False,2022-01-01
24,dann,then,0,False,False,False,2022-01-01
25,das Alphabet,the alphabet,0,False,False,False,2022-01-01
26,das Beispiel,the example,0,False,False,False,2022-01-01
27,das Bier,the beer,0,False,False,False,2022-01-01
28,das Brot,the bread,0,False,False,False,2022-01-01
29,das Büro,the office,0,False,False,False,2022-01-01
30,das Café,the café,0,False,False,False,2022-01-01
31,das Camping,the camping,0,False,False,False,2022-01-01
32,das Eis,the ice,0,False,False,False,2022-01-01
33,das Essen,the meal,0,False,False,False,2022-01-01
34,das Ethik,the ethique,0,False,False,False,2022-01-01
35,das Geld,the money,0,False,False,False,2022-01-01
36,das Gemüse,the vegetable,0,False,False,False,2022-01-01
37,das Handtuch,the towel,0,False,False,False,2022-01-01
38,das Holz,the wood,0,False,False,False,2022-01-01
39,das Hotel,the hotel,0,False,False,False,2022-01-01
40,das Insekt,the insect,0,False,False,False,2022-01-01
41,das Kind,the kid,0,False,False,False,2022-01-01
42,das Kino,the cinema,0,False,False,False,2022-01-01
43,das Kleid,the dress,0,False,False,False,2022-01-01
44,das Kreuz,the cross,0,False,False,False,2022-01-01
45,das Leben,the life,0,False,False,False,2022-01-01
46,das Lotto,the lottery,0,False,False,False,2022-01-01
47,das Mädchen,the girl,0,False,False,False,2022-01-01
48,das Material,the material,0,False,False,False,2022-01-01
49,das Meer,the sea,0,False,False,False,2022-01-01
50,das Mehl,the flour,0,False,False,False,2022-01-01
51,das Metall,the metal,0,False,False,False,2022-01-01
52,das Obst,the fruit,0,False,False,False,2022-01-01
53,das Öl,the oil,0,False,False,False,2022-01-01
54,das Omelette,the omelette,0,False,False,False,2022-01-01
55,das Organ,the organ,0,False,False,False,2022-01-01
56,das Pferd,the horse,0,False,False,False,2022-01-01
57,das Praktikum,the internship,0,False,False,False,2022-01-01
58,das Produkt,the product,0,False,False,False,2022-01-01
59,das Pronomen,the pronoun,0,False,False,False,2022-01-01
60,das Protokoll,the protocol,0,False,False,False,2022-01-01
61,das Radio,the radio,0,False,False,False,2022-01-01
62,das Recht,the right,0,False,False,False,2022-01-01
63,das Restaurant,the restaurant,0,False,False,False,2022-01-01
64,das Rezept,the recipe,0,False,False,False,2022-01-01
65,das Salz,the salt,0,False,False,False,2022-01-01
66,das Schiff,the ship,0,False,False,False,2022-01-01
67,das Schlafzimmer,the bedroom,0,False,False,False,2022-01-01
68,das Schwein,the pig,0,False,False,False,2022-01-01
69,das Sofa,the sofa,0,False,False,False,2022-01-01
70,das Sonderangebot,the special offer,0,False,False,False,2022-01-01
71,das Stück,the piece,0,False,False,False,2022-01-01
72,das Telefon,the telephone,0,False,False,False,2022-01-01
73,das Tier,the animal,0,False,False,False,2022-01-01
74,das TischTennis,the table tennis,0,False,False,False,2022-01-01
75,das Wasser,the water,0,False,False,False,2022-01-01
76,das Wissen,the knowledge,0,False,False,False,2022-01-01
77,das Wohnzimmer,the living room,0,False,False,False,2022-01-01
78,das Wort,the word,0,False,False,False,2022-01-01
79,das Zebra,the zebra,0,False,False,False,2022-01-01
